SCALE 44-group library
group upper bound region
1 2.00000E+07 fast
2 8.18730E+06 fast
3 6.43400E+06 fast
4 4.80000E+06 fast
5 3.00000E+06 fast
6 2.47900E+06 fast
7 2.35400E+06 fast
8 1.85000E+06 fast
9 1.40000E+06 fast
10 9.00000E+05 fast
11 4.00000E+05 fast
12 1.00000E+05 fast
13 2.26994E+04 resonance
14 1.70000E+04 resonance
15 3.00000E+03 resonance
16 5.50000E+02 resonance
17 1.00000E+02 resonance
18 3.00000E+01 resonance
19 1.00000E+01 resonance
20 8.09999E+00 resonance
21 6.00000E+00 resonance
22 4.21983E+00 resonance
23 3.00000E+00 thermal
24 1.77000E+00 thermal
25 1.00000E+00 thermal
26 6.25000E-01 thermal
27 4.00000E-01 thermal
28 3.75000E-01 thermal
29 3.50000E-01 thermal
30 3.25000E-01 thermal
31 2.75000E-01 thermal
32 2.50000E-01 thermal
33 2.25000E-01 thermal
34 2.00000E-01 thermal
35 1.50000E-01 thermal
36 1.00000E-01 thermal
37 7.00000E-02 thermal
38 5.00000E-02 thermal
39 4.00000E-02 thermal
40 3.00000E-02 thermal
41 2.53000E-02 thermal
42 1.00000E-02 thermal
43 7.50000E-03 thermal
44 3.00000E-03 thermal
45 1.00000E-05 thermal

