SHEM 166-group library
group upper bound region
1 2.00000E+07 fast
2 1.49182E+07 fast
3 1.38403E+07 fast
4 1.16183E+07 fast
5 9.99999E+06 fast
6 9.04836E+06 fast
7 8.18730E+06 fast
8 7.40817E+06 fast
9 6.70319E+06 fast
10 6.06530E+06 fast
11 4.96585E+06 fast
12 4.06569E+06 fast
13 3.32871E+06 fast
14 2.72531E+06 fast
15 2.23130E+06 fast
16 1.90139E+06 fast
17 1.63654E+06 fast
18 1.40577E+06 fast
19 1.33694E+06 fast
20 1.28696E+06 fast
21 1.16205E+06 fast
22 1.05115E+06 fast
23 9.51119E+05 fast
24 8.60006E+05 fast
25 7.06511E+05 fast
26 5.78443E+05 fast
27 4.94002E+05 fast
28 4.56021E+05 fast
29 4.12501E+05 fast
30 3.83884E+05 fast
31 3.20646E+05 fast
32 2.67826E+05 fast
33 2.30014E+05 fast
34 1.95008E+05 fast
35 1.64999E+05 fast
36 1.40000E+05 fast
37 1.22773E+05 fast
38 1.15624E+05 fast
39 9.46645E+04 fast
40 8.22974E+04 fast
41 6.73794E+04 fast
42 5.51656E+04 fast
43 4.99159E+04 fast
44 4.08677E+04 fast
45 3.69786E+04 fast
46 3.34596E+04 fast
47 2.92810E+04 fast
48 2.73944E+04 fast
49 2.61001E+04 fast
50 2.49991E+04 resonance
51 2.26994E+04 resonance
52 1.43872E+04 resonance
53 9.11881E+03 resonance
54 5.57526E+03 resonance
55 3.40872E+03 resonance
56 2.08410E+03 resonance
57 1.32800E+03 resonance
58 8.46204E+02 resonance
59 5.39204E+02 resonance
60 3.55228E+02 resonance
61 2.34025E+02 resonance
62 1.54176E+02 resonance
63 1.07171E+02 resonance
64 7.44972E+01 resonance
65 5.17847E+01 resonance
66 4.21301E+01 resonance
67 3.42754E+01 resonance
68 2.78852E+01 resonance
69 2.24906E+01 resonance
70 1.81396E+01 resonance
71 1.46303E+01 resonance
72 1.18000E+01 resonance
73 9.50002E+00 resonance
74 8.59597E+00 resonance
75 7.77796E+00 resonance
76 7.03779E+00 resonance
77 6.36805E+00 resonance
78 5.76205E+00 resonance
79 5.21372E+00 resonance
80 4.71757E+00 resonance
81 4.21983E+00 resonance
82 4.00000E+00 resonance
83 3.88217E+00 resonance
84 3.71209E+00 resonance
85 3.54307E+00 resonance
86 3.14211E+00 resonance
87 2.88405E+00 thermal
88 2.77512E+00 thermal
89 2.74092E+00 thermal
90 2.71990E+00 thermal
91 2.70012E+00 thermal
92 2.64004E+00 thermal
93 2.62005E+00 thermal
94 2.59009E+00 thermal
95 2.55000E+00 thermal
96 2.46994E+00 thermal
97 2.33006E+00 thermal
98 2.27299E+00 thermal
99 2.21709E+00 thermal
100 2.15695E+00 thermal
101 2.07010E+00 thermal
102 1.98992E+00 thermal
103 1.90008E+00 thermal
104 1.77997E+00 thermal
105 1.66895E+00 thermal
106 1.58803E+00 thermal
107 1.51998E+00 thermal
108 1.44397E+00 thermal
109 1.41001E+00 thermal
110 1.38098E+00 thermal
111 1.33095E+00 thermal
112 1.29304E+00 thermal
113 1.25094E+00 thermal
114 1.21397E+00 thermal
115 1.16999E+00 thermal
116 1.14797E+00 thermal
117 1.12997E+00 thermal
118 1.11605E+00 thermal
119 1.10395E+00 thermal
120 1.09198E+00 thermal
121 1.07799E+00 thermal
122 1.03499E+00 thermal
123 1.02101E+00 thermal
124 1.00904E+00 thermal
125 9.96501E-01 thermal
126 9.81959E-01 thermal
127 9.63960E-01 thermal
128 9.44022E-01 thermal
129 9.19978E-01 thermal
130 8.80024E-01 thermal
131 8.00371E-01 thermal
132 7.19999E-01 thermal
133 6.24999E-01 thermal
134 5.94993E-01 thermal
135 5.54990E-01 thermal
136 5.20011E-01 thermal
137 4.75017E-01 thermal
138 4.31579E-01 thermal
139 3.90001E-01 thermal
140 3.52994E-01 thermal
141 3.25008E-01 thermal
142 3.05012E-01 thermal
143 2.79989E-01 thermal
144 2.54997E-01 thermal
145 2.31192E-01 thermal
146 2.09610E-01 thermal
147 1.90005E-01 thermal
148 1.61895E-01 thermal
149 1.37999E-01 thermal
150 1.19995E-01 thermal
151 1.04298E-01 thermal
152 8.97968E-02 thermal
153 7.64969E-02 thermal
154 6.51999E-02 thermal
155 5.54982E-02 thermal
156 4.73019E-02 thermal
157 4.02999E-02 thermal
158 3.43998E-02 thermal
159 2.92989E-02 thermal
160 2.49394E-02 thermal
161 2.00104E-02 thermal
162 1.48300E-02 thermal
163 1.04505E-02 thermal
164 7.14526E-03 thermal
165 4.55602E-03 thermal
166 2.49990E-03 thermal
167 1.00000E-05 thermal

