WIMS 172-group library
group upper bound region
1 2.00000E+07 fast
2 1.73325E+07 fast
3 1.49182E+07 fast
4 1.38403E+07 fast
5 1.16183E+07 fast
6 1.00000E+07 fast
7 8.18731E+06 fast
8 6.70320E+06 fast
9 6.06531E+06 fast
10 5.48812E+06 fast
11 4.49329E+06 fast
12 3.67879E+06 fast
13 3.01194E+06 fast
14 2.46597E+06 fast
15 2.23130E+06 fast
16 2.01897E+06 fast
17 1.65299E+06 fast
18 1.35335E+06 fast
19 1.22456E+06 fast
20 1.10803E+06 fast
21 1.00259E+06 fast
22 9.07180E+05 fast
23 8.20850E+05 fast
24 6.08101E+05 fast
25 5.50232E+05 fast
26 4.97871E+05 fast
27 4.50492E+05 fast
28 4.07622E+05 fast
29 3.01974E+05 fast
30 2.73237E+05 fast
31 2.47235E+05 fast
32 1.83156E+05 fast
33 1.22773E+05 fast
34 1.11090E+05 fast
35 8.22975E+04 fast
36 6.73795E+04 fast
37 5.51656E+04 fast
38 4.08677E+04 fast
39 3.69786E+04 fast
40 2.92830E+04 fast
41 2.73944E+04 fast
42 2.47875E+04 fast
43 1.66156E+04 fast
44 1.50344E+04 fast
45 1.11378E+04 fast
46 9.11882E+03 resonance
47 7.46586E+03 resonance
48 5.53085E+03 resonance
49 5.00450E+03 resonance
50 3.52662E+03 resonance
51 3.35463E+03 resonance
52 2.24867E+03 resonance
53 2.03468E+03 resonance
54 1.50733E+03 resonance
55 1.43382E+03 resonance
56 1.23410E+03 resonance
57 1.01039E+03 resonance
58 9.14242E+02 resonance
59 7.48518E+02 resonance
60 6.77287E+02 resonance
61 4.53999E+02 resonance
62 3.71703E+02 resonance
63 3.04325E+02 resonance
64 2.03995E+02 resonance
65 1.48625E+02 resonance
66 1.36742E+02 resonance
67 9.16609E+01 resonance
68 7.56736E+01 resonance
69 6.79040E+01 resonance
70 5.55951E+01 resonance
71 5.15780E+01 resonance
72 4.82516E+01 resonance
73 4.55174E+01 resonance
74 4.01690E+01 resonance
75 3.72665E+01 resonance
76 3.37201E+01 resonance
77 3.05113E+01 resonance
78 2.76077E+01 resonance
79 2.49805E+01 resonance
80 2.26033E+01 resonance
81 1.94548E+01 resonance
82 1.59283E+01 resonance
83 1.37096E+01 resonance
84 1.12245E+01 resonance
85 9.90555E+00 resonance
86 9.18981E+00 resonance
87 8.31529E+00 resonance
88 7.52398E+00 resonance
89 6.16012E+00 resonance
90 5.34643E+00 resonance
91 5.04348E+00 resonance
92 4.12925E+00 resonance
93 4.00000E+00 thermal
94 3.38075E+00 thermal
95 3.30000E+00 thermal
96 2.76792E+00 thermal
97 2.72000E+00 thermal
98 2.60000E+00 thermal
99 2.55000E+00 thermal
100 2.36000E+00 thermal
101 2.13000E+00 thermal
102 2.10000E+00 thermal
103 2.02000E+00 thermal
104 1.93000E+00 thermal
105 1.84000E+00 thermal
106 1.75500E+00 thermal
107 1.67000E+00 thermal
108 1.59000E+00 thermal
109 1.50000E+00 thermal
110 1.47500E+00 thermal
111 1.44498E+00 thermal
112 1.37000E+00 thermal
113 1.33750E+00 thermal
114 1.30000E+00 thermal
115 1.23500E+00 thermal
116 1.17000E+00 thermal
117 1.15000E+00 thermal
118 1.12535E+00 thermal
119 1.11000E+00 thermal
120 1.09700E+00 thermal
121 1.07100E+00 thermal
122 1.04500E+00 thermal
123 1.03500E+00 thermal
124 1.02000E+00 thermal
125 9.96000E-01 thermal
126 9.86000E-01 thermal
127 9.72000E-01 thermal
128 9.50000E-01 thermal
129 9.30000E-01 thermal
130 9.10000E-01 thermal
131 8.60000E-01 thermal
132 8.50000E-01 thermal
133 7.90000E-01 thermal
134 7.80000E-01 thermal
135 7.05000E-01 thermal
136 6.25000E-01 thermal
137 5.40000E-01 thermal
138 5.00000E-01 thermal
139 4.85000E-01 thermal
140 4.33000E-01 thermal
141 4.00000E-01 thermal
142 3.91000E-01 thermal
143 3.50000E-01 thermal
144 3.20000E-01 thermal
145 3.14500E-01 thermal
146 3.00000E-01 thermal
147 2.80000E-01 thermal
148 2.48000E-01 thermal
149 2.20000E-01 thermal
150 1.89000E-01 thermal
151 1.80000E-01 thermal
152 1.60000E-01 thermal
153 1.40000E-01 thermal
154 1.34000E-01 thermal
155 1.15000E-01 thermal
156 1.00000E-01 thermal
157 9.50000E-02 thermal
158 8.00000E-02 thermal
159 7.70000E-02 thermal
160 6.70000E-02 thermal
161 5.80000E-02 thermal
162 5.00000E-02 thermal
163 4.20000E-02 thermal
164 3.50000E-02 thermal
165 3.00000E-02 thermal
166 2.50000E-02 thermal
167 2.00000E-02 thermal
168 1.50000E-02 thermal
169 1.00000E-02 thermal
170 6.90000E-03 thermal
171 5.00000E-03 thermal
172 3.00000E-03 thermal
173 1.00000E-05 thermal
