User-defined 249-group library
group upper bound region
1 1.4200000000e+07 fast
2 1.4000000000e+07 fast
3 1.3780000000e+07 fast
4 1.3460000000e+07 fast
5 1.3140000000e+07 fast
6 1.2820000000e+07 fast
7 1.2500000000e+07 fast
8 1.2180000000e+07 fast
9 1.1860000000e+07 fast
10 1.1540000000e+07 fast
11 1.1220000000e+07 fast
12 1.0900000000e+07 fast
13 1.0840000000e+07 fast
14 1.0780000000e+07 fast
15 1.0720000000e+07 fast
16 1.0660000000e+07 fast
17 1.0600000000e+07 fast
18 1.0540000000e+07 fast
19 1.0480000000e+07 fast
20 1.0420000000e+07 fast
21 1.0360000000e+07 fast
22 1.0300000000e+07 fast
23 1.0230000000e+07 fast
24 1.0160000000e+07 fast
25 1.0090000000e+07 fast
26 1.0020000000e+07 fast
27 9.9500000000e+06 fast
28 9.8800000000e+06 fast
29 9.8100000000e+06 fast
30 9.7400000000e+06 fast
31 9.6700000000e+06 fast
32 9.6000000000e+06 fast
33 9.5100000000e+06 fast
34 9.4200000000e+06 fast
35 9.3300000000e+06 fast
36 9.2400000000e+06 fast
37 9.1500000000e+06 fast
38 9.0600000000e+06 fast
39 8.9700000000e+06 fast
40 8.8800000000e+06 fast
41 8.7900000000e+06 fast
42 8.7000000000e+06 fast
43 8.6300000000e+06 fast
44 8.5600000000e+06 fast
45 8.4900000000e+06 fast
46 8.4200000000e+06 fast
47 8.3500000000e+06 fast
48 8.2800000000e+06 fast
49 8.2100000000e+06 fast
50 8.1400000000e+06 fast
51 8.0700000000e+06 fast
52 8.0000000000e+06 fast
53 7.9600000000e+06 fast
54 7.9200000000e+06 fast
55 7.8800000000e+06 fast
56 7.8400000000e+06 fast
57 7.8000000000e+06 fast
58 7.7600000000e+06 fast
59 7.7200000000e+06 fast
60 7.6800000000e+06 fast
61 7.6400000000e+06 fast
62 7.6000000000e+06 fast
63 7.5400000000e+06 fast
64 7.4800000000e+06 fast
65 7.4200000000e+06 fast
66 7.3600000000e+06 fast
67 7.3000000000e+06 fast
68 7.2400000000e+06 fast
69 7.1800000000e+06 fast
70 7.1200000000e+06 fast
