SCALE 238-group library
group upper bound region
1 2.00000E+07 fast
2 1.73330E+07 fast
3 1.56830E+07 fast
4 1.45500E+07 fast
5 1.38400E+07 fast
6 1.28400E+07 fast
7 1.00000E+07 fast
8 8.18730E+06 fast
9 6.43400E+06 fast
10 4.80000E+06 fast
11 4.30400E+06 fast
12 3.00000E+06 fast
13 2.47900E+06 fast
14 2.35400E+06 fast
15 1.85000E+06 fast
16 1.50000E+06 fast
17 1.40000E+06 fast
18 1.35600E+06 fast
19 1.31700E+06 fast
20 1.25000E+06 fast
21 1.20000E+06 fast
22 1.10000E+06 fast
23 1.01000E+06 fast
24 9.20000E+05 fast
25 9.00000E+05 fast
26 8.75000E+05 fast
27 8.61100E+05 fast
28 8.20000E+05 fast
29 7.50000E+05 fast
30 6.79000E+05 fast
31 6.70000E+05 fast
32 6.00000E+05 fast
33 5.73000E+05 fast
34 5.50000E+05 fast
35 4.99520E+05 fast
36 4.70000E+05 fast
37 4.40000E+05 fast
38 4.20000E+05 fast
39 4.00000E+05 fast
40 3.30000E+05 fast
41 2.70000E+05 fast
42 2.00000E+05 fast
43 1.50000E+05 fast
44 1.28300E+05 fast
45 1.00000E+05 fast
46 8.50000E+04 fast
47 8.20000E+04 fast
48 7.50000E+04 fast
49 7.30000E+04 fast
50 6.00000E+04 fast
51 5.20000E+04 fast
52 5.00000E+04 fast
53 4.50000E+04 fast
54 3.00000E+04 fast
55 2.50000E+04 resonance
56 1.70000E+04 resonance
57 1.30000E+04 resonance
58 9.50000E+03 resonance
59 8.03000E+03 resonance
60 6.00000E+03 resonance
61 3.90000E+03 resonance
62 3.74000E+03 resonance
63 3.00000E+03 resonance
64 2.58000E+03 resonance
65 2.29000E+03 resonance
66 2.20000E+03 resonance
67 1.80000E+03 resonance
68 1.55000E+03 resonance
69 1.50000E+03 resonance
70 1.15000E+03 resonance
71 9.50000E+02 resonance
72 6.83000E+02 resonance
73 6.70000E+02 resonance
74 5.50000E+02 resonance
75 3.05000E+02 resonance
76 2.85000E+02 resonance
77 2.40000E+02 resonance
78 2.10000E+02 resonance
79 2.07500E+02 resonance
80 1.92500E+02 resonance
81 1.86000E+02 resonance
82 1.22000E+02 resonance
83 1.19000E+02 resonance
84 1.15000E+02 resonance
85 1.08000E+02 resonance
86 1.00000E+02 resonance
87 9.00000E+01 resonance
88 8.20000E+01 resonance
89 8.00000E+01 resonance
90 7.60000E+01 resonance
91 7.20000E+01 resonance
92 6.75000E+01 resonance
93 6.50000E+01 resonance
94 6.10000E+01 resonance
95 5.90000E+01 resonance
96 5.34000E+01 resonance
97 5.20000E+01 resonance
98 5.06000E+01 resonance
99 4.92000E+01 resonance
100 4.8300E+01 resonance
101 4.70000E+01 resonance
102 4.52000E+01 resonance
103 4.40000E+01 resonance
104 4.24000E+01 resonance
105 4.10000E+01 resonance
106 3.96000E+01 resonance
107 3.91000E+01 resonance
108 3.80000E+01 resonance
109 3.70000E+01 resonance
110 3.55000E+01 resonance
111 3.46000E+01 resonance
112 3.37500E+01 resonance
113 3.32500E+01 resonance
114 3.17500E+01 resonance
