SHEM 244-group library
group upper bound region
1 2.00000E+07 fast
2 1.49182E+07 fast
3 1.38403E+07 fast
4 1.16183E+07 fast
5 9.99999E+06 fast
6 9.04836E+06 fast
7 8.18730E+06 fast
8 7.40817E+06 fast
9 6.70319E+06 fast
10 6.06530E+06 fast
11 4.96585E+06 fast
12 4.06569E+06 fast
13 3.32871E+06 fast
14 2.72531E+06 fast
15 2.23130E+06 fast
16 1.90139E+06 fast
17 1.63654E+06 fast
18 1.40577E+06 fast
19 1.33694E+06 fast
20 1.28696E+06 fast
21 1.16205E+06 fast
22 1.05115E+06 fast
23 9.51119E+05 fast
24 8.60006E+05 fast
25 7.06511E+05 fast
26 5.78443E+05 fast
27 4.94002E+05 fast
28 4.56021E+05 fast
29 4.12501E+05 fast
30 3.83884E+05 fast
31 3.20646E+05 fast
32 2.67826E+05 fast
33 2.30014E+05 fast
34 1.95008E+05 fast
35 1.64999E+05 fast
36 1.40000E+05 fast
37 1.22773E+05 fast
38 1.15624E+05 fast
39 9.46645E+04 fast
40 8.22974E+04 fast
41 6.73794E+04 fast
42 5.51656E+04 fast
43 4.99159E+04 fast
44 4.08677E+04 fast
45 3.69786E+04 fast
46 3.34596E+04 fast
47 2.92810E+04 fast
48 2.73944E+04 fast
49 2.61001E+04 fast
50 2.49991E+04 resonance
51 2.26994E+04 resonance
52 1.85847E+04 resonance
53 1.62005E+04 resonance
54 1.36037E+04 resonance
55 1.11377E+04 resonance
56 9.11881E+03 resonance
57 7.46585E+03 resonance
58 6.11252E+03 resonance
59 5.00451E+03 resonance
60 4.09735E+03 resonance
61 3.35462E+03 resonance
62 2.74653E+03 resonance
63 2.39729E+03 resonance
64 2.08410E+03 resonance
65 1.71487E+03 resonance
66 1.41105E+03 resonance
67 1.16106E+03 resonance
68 9.55364E+02 resonance
69 7.86107E+02 resonance
70 6.46836E+02 resonance
71 5.39204E+02 resonance
72 4.37070E+02 resonance
73 3.54282E+02 resonance
74 2.87176E+02 resonance
75 2.32780E+02 resonance
76 1.88688E+02 resonance
77 1.54176E+02 resonance
78 1.28779E+02 resonance
79 1.07565E+02 resonance
80 8.98458E+01 resonance
81 7.50455E+01 resonance
82 6.14420E+01 resonance
83 5.17847E+01 resonance
84 4.50195E+01 resonance
85 3.97295E+01 resonance
86 3.85276E+01 resonance
87 3.73257E+01 resonance
88 3.61239E+01 resonance
89 3.49220E+01 resonance
90 3.37201E+01 resonance
91 2.78852E+01 resonance
92 2.46578E+01 resonance
93 2.42334E+01 resonance
94 2.38089E+01 resonance
95 2.33845E+01 resonance
96 2.29600E+01 resonance
97 2.25356E+01 resonance
98 2.19155E+01 resonance
99 2.13126E+01 resonance
100 2.07262E+01 resonance
101 2.01559E+01 resonance
102 1.96013E+01 resonance
103 1.90620E+01 resonance
104 1.85375E+01 resonance
105 1.80275E+01 resonance
106 1.75314E+01 resonance
107 1.70491E+01 resonance
108 1.65800E+01 resonance
109 1.61238E+01 resonance
110 1.56802E+01 resonance
111 1.52487E+01 resonance
112 1.48292E+01 resonance
113 1.44212E+01 resonance
114 1.40244E+01 resonance
