WIMS 69-group library
group upper bound region
1 2.00000E+07 fast
2 6.06550E+06 fast
3 3.67900E+06 fast
4 2.23100E+06 fast
5 1.35300E+06 fast
6 8.21000E+05 fast
7 5.00000E+05 fast
8 3.02500E+05 fast
9 1.83000E+05 fast
10 1.11000E+05 fast
11 6.73400E+04 fast
12 4.08500E+04 fast
13 2.47800E+04 fast
14 1.50300E+04 fast
15 9.11800E+03 resonance
16 5.53000E+03 resonance
17 3.51910E+03 resonance
18 2.23945E+03 resonance
19 1.42510E+03 resonance
20 9.06899E+02 resonance
21 3.67263E+02 resonance
22 1.48729E+02 resonance
23 7.55014E+01 resonance
24 4.80520E+01 resonance
25 2.77000E+01 resonance
26 1.59680E+01 resonance
27 9.87700E+00 resonance
28 4.00000E+00 thermal
29 3.30000E+00 thermal
30 2.60000E+00 thermal
31 2.10000E+00 thermal
32 1.50000E+00 thermal
33 1.30000E+00 thermal
34 1.15000E+00 thermal
35 1.12300E+00 thermal
36 1.09700E+00 thermal
37 1.07100E+00 thermal
38 1.04500E+00 thermal
39 1.02000E+00 thermal
40 9.96000E-01 thermal
41 9.72000E-01 thermal
42 9.50000E-01 thermal
43 9.10000E-01 thermal
44 8.50000E-01 thermal
45 7.80000E-01 thermal
46 6.25000E-01 thermal
47 5.00000E-01 thermal
48 4.00000E-01 thermal
49 3.50000E-01 thermal
50 3.20000E-01 thermal
51 3.00000E-01 thermal
52 2.80000E-01 thermal
53 2.50000E-01 thermal
54 2.20000E-01 thermal
55 1.80000E-01 thermal
56 1.40000E-01 thermal
57 1.00000E-01 thermal
58 8.00000E-02 thermal
59 6.70000E-02 thermal
60 5.80000E-02 thermal
61 5.00000E-02 thermal
62 4.20000E-02 thermal
63 3.50000E-02 thermal
64 3.00000E-02 thermal
65 2.50000E-02 thermal
66 2.00000E-02 thermal
67 1.50000E-02 thermal
68 1.00000E-02 thermal
69 5.00000E-03 thermal
70 1.00000E-05 thermal
